"ID","movie","director","actor_1","actor_2","actor_3","year","language","score"
2661,"Grosse Pointe Blank","george armitage","minnie driver","michael cudlitz","mitchell ryan",1997,"English",7.4
2662,"All About Steve","phil traill","bradley cooper","katy mixon","beth grant",2009,"English",4.8
2663,"Book of Shadows: Blair Witch 2","joe berlinger","kim director","erica leerhsen","kurt loder",2000,"English",4
2664,"The Craft","andrew fleming","christine taylor","rachel true","brenda strong",1996,"English",6.2
2665,"Match Point","woody allen","scarlett johansson","mark gatiss","penelope wilton",2005,"English",7.7
2666,"Ramona and Beezus","elizabeth allen rosenbaum","sierra mccormick","hutch dano","jason spevack",2010,"English",6.7
2667,"The Remains of the Day","james ivory","anthony hopkins","peter vaughan","ben chaplin",1993,"English",7.9
2668,"Boogie Nights","paul thomas anderson","don cheadle","nicole ari parker","nina hartley",1997,"English",7.9
2669,"Nowhere to Run","robert harmon","kieran culkin","rosanna arquette","joss ackland",1993,"English",5.5
2670,"Flicka","michael mayer","alison lohman","danny pino","tim mcgraw",2006,"English",6.2
2671,"The Hills Have Eyes II","martin weisz","jeff kober","daniella alonso","jacob vargas",2007,"English",5.1
2672,"Urban Legends: Final Cut","john ottman","loretta devine","joey lawrence","jacinda barrett",2000,"English",4.1
2673,"Tuck Everlasting","jay russell","william hurt","sissy spacek","jonathan jackson",2002,"English",6.7
2674,"The Marine","john bonito","kelly carlson","firass dirani","drew powell",2006,"English",4.7
2675,"Keanu","peter atencio","nia long","will forte","keegan-michael key",2016,"English",6.4
2676,"Country Strong","shana feste","leighton meester","cinda mccain","tim mcgraw",2010,"English",6.3
2677,"Disturbing Behavior","david nutter","bruce greenwood","ethan embry","katharine isabelle",1998,"English",5.5
2678,"The Place Beyond the Pines","derek cianfrance","ryan gosling","ben mendelsohn","angelo anthony pizza",2012,"English",7.3
2679,"The November Man","roger donaldson","luke bracey","akie kotabe","will patton",2014,"English",6.3
2680,"Eye of the Beholder","stephan elliott","jason priestley","patrick bergin","geneviève bujold",1999,"English",4.9
2681,"The Hurt Locker","kathryn bigelow","jeremy renner","christian camargo","brian geraghty",2008,"English",7.6
2682,"Firestarter","mark l. lester","heather locklear","george c. scott","david keith",1984,"English",6
2683,"Killing Them Softly","andrew dominik","brad pitt","sam shepard","ben mendelsohn",2012,"English",6.2
2684,"A Most Wanted Man","anton corbijn","philip seymour hoffman","nina hoss","homayoun ershadi",2014,"English",6.8
2685,"Freddy Got Fingered","tom green","rip torn","harland williams","eddie kaye thomas",2001,"English",4.5
2686,"The Pirates Who Don't Do Anything: A VeggieTales Movie","mike nawrocki","yuri lowenthal","cam clarke","phil vischer",2008,"English",5.7
2687,"U2 3D","catherine owens","bono","the edge","larry mullen jr.",2007,"English",8.4
2688,"Highlander: Endgame","douglas aarniokoski","christopher lambert","adrian paul","adam copeland",2000,"English",4.6
2689,"Idlewild","bryan barber","cicely tyson","faizon love","bobb'e j. thompson",2006,"English",6.2
2690,"One Day","lone scherfig","anne hathaway","jim sturgess","rafe spall",2011,"English",7
2691,"Whip It","drew barrymore","daniel stern","jimmy fallon","alia shawkat",2009,"English",6.9
2692,"Knockaround Guys","brian koppelman","vin diesel","tom noonan","kevin gage",2001,"English",6.1
2693,"Confidence","james foley","louis lombardi","brian van holt","leland orser",2003,"English",6.7
2694,"The Muse","albert brooks","jeff bridges","bradley whitford","albert brooks",1999,"English",5.6
2695,"De-Lovely","irwin winkler","kevin mcnally","keith allen","sandra nelson",2004,"English",6.6
2696,"New York Stories","woody allen","woody allen","larry david","mia farrow",1989,"English",6.4
2697,"Barney's Great Adventure","steve gomer","trevor morgan","kyla pratt","shirley douglas",1998,"English",2.8
2698,"The Man with the Iron Fists","rza","rick yune","rza","daniel wu",2012,"English",5.4
2699,"Home Fries","dean parisot","catherine o'hara","jake busey","shelley duvall",1998,"English",5
2700,"Here on Earth","mark piznarski","bruce greenwood","chris klein","elaine hendrix",2000,"English",5.1
2701,"Brazil","terry gilliam","robert de niro","bob hoskins","jim broadbent",1985,"English",8
2702,"Raise Your Voice","sean mcnamara","oliver james","rebecca de mornay","jason ritter",2004,"English",5.9
2703,"The Dead Zone","","david ogden stiers","nicole de boer","chris bruno",NA,"English",7.5
2704,"The Big Lebowski","joel coen","philip seymour hoffman","jeff bridges","steve buscemi",1998,"English",8.2
2705,"Black Snake Moan","craig brewer","justin timberlake","michael raymond-james","s. epatha merkerson",2006,"English",7
2706,"Dark Blue","ron shelton","khandi alexander","dash mihok","michael michele",2002,"English",6.6
2707,"A Mighty Heart","michael winterbottom","angelina jolie pitt","archie panjabi","dan futterman",2007,"English",6.7
2708,"Whatever It Takes","david raynr","james franco","jodi lyn o'keefe","marla sokoloff",2000,"English",5.5
2709,"Boat Trip","mort nathan","vivica a. fox","lin shaye","bob gunton",2002,"English",4.9
2710,"The Importance of Being Earnest","oliver parker","colin firth","tom wilkinson","rupert everett",2002,"English",6.9
2711,"The Love Letter","dan curtis","jennifer jason leigh","campbell scott","estelle parsons",1998,"English",7.4
2712,"Hoot","wil shriner","logan lerman","neil flynn","tim blake nelson",2006,"English",5.6
2713,"In Bruges","martin mcdonagh","elizabeth berrington","anna madeley","eric godon",2008,"English",8
2714,"Peeples","tina gordon chism","tyler james williams","s. epatha merkerson","diahann carroll",2013,"English",5.3
2715,"The Rocker","peter cattaneo","emma stone","bradley cooper","josh gad",2008,"English",6.2
2716,"Post Grad","vicky jenson","j.k. simmons","zach gilford","bobby coleman",2009,"English",5.3
2717,"Promised Land","gus van sant","matt damon","hal holbrook","terry kinney",2012,"English",6.6
2718,"Whatever Works","woody allen","larry david","michael mckean","conleth hill",2009,"English",7.2
2719,"The In Crowd","mary lambert","matthew settle","susan ward","a.j. buckley",2000,"English",4.6
2720,"Three Burials","tommy lee jones","levon helm","dwight yoakam","guillermo arriaga",2005,"English",7.5
2721,"Jakob the Liar","peter kassovitz","robin williams","mark margolis","michael jeter",1999,"English",6.5
2722,"Kiss Kiss Bang Bang","shane black","robert downey jr.","corbin bernsen","larry miller",2005,"English",7.6
2723,"Idle Hands","rodman flender","vivica a. fox","fred willard","elden henson",1999,"English",6.2
2724,"Mulholland Drive","david lynch","naomi watts","robert forster","laura harring",2001,"English",8
2725,"Blood and Chocolate","katja von garnier","olivier martinez","agnes bruckner","chris geere",2007,"English",5.5
2726,"You Will Meet a Tall Dark Stranger","woody allen","anthony hopkins","naomi watts","ewen bremner",2010,"English",6.3
2727,"Never Let Me Go","mark romanek","andrew garfield","charlie rowe","charlotte rampling",2010,"English",7.2
2728,"The Company","","anna silk","tom hollander","alessandro nivola",NA,"English",7.9
2729,"Transsiberian","brad anderson","thomas kretschmann","eduardo noriega","mac mcdonald",2008,"English",6.7
2730,"The Clan of the Cave Bear","michael chapman","curtis armstrong","pamela reed","mike muscat",1986,"English",5.3
2731,"Crazy in Alabama","antonio banderas","meat loaf","elizabeth perkins","noah emmerich",1999,"English",6.3
2732,"Funny Games","michael haneke","naomi watts","siobhan fallon hogan","brady corbet",2007,"English",6.5
2733,"Listening","khalil sullins","thomas stroppel","kalim chandler","amber marie bollinger",2014,"English",5.6
2734,"Felicia's Journey","atom egoyan","bob hoskins","elaine cassidy","gerard mcsorley",1999,"English",7
2735,"Metropolis","fritz lang","brigitte helm","gustav fröhlich","rudolf klein-rogge",1927,"German",8.3
2736,"District B13","pierre morel","david belle","cyril raffaelli","dany verissimo-petit",2004,"French",7.2
2737,"Things to Do in Denver When You're Dead","gary fleder","steve buscemi","bill cobbs","treat williams",1995,"English",6.8
2738,"The Assassin","hsiao-hsien hou","qi shu","chen chang","satoshi tsumabuki",2015,"Mandarin",6.4
2739,"Buffalo Soldiers","gregor jordan","dean stockwell","scott glenn","leon",2001,"English",6.9
2740,"The Return","andrey zvyagintsev","konstantin lavronenko","vladimir garin","nataliya vdovina",2003,"Russian",8
2741,"Ong-bak 2","tony jaa","nirut sirichanya","petchtai wongkamlao","sarunyu wongkrachang",2008,"Thai",6.2
2742,"Centurion","neil marshall","michael fassbender","jj feild","dave legeno",2010,"English",6.4
2743,"Silent Trigger","russell mulcahy","christopher heyerdahl","gina bellman","conrad dunn",1996,"English",5.6
2744,"The Midnight Meat Train","ryûhei kitamura","bradley cooper","brooke shields","leslie bibb",2008,"English",6.1
2745,"Winnie Mandela","darrell roodt","jennifer hudson","wendy crewson","aubrey poo",2011,"English",6
2746,"The Son of No One","dito montiel","channing tatum","al pacino","tracy morgan",2011,"English",5.1
2747,"All the Queen's Men","stefan ruzowitzky","eddie izzard","udo kier","edward fox",2001,"English",4.5
2748,"The Good Night","jake paltrow","stephen graham","gael le cornec","keith allen",2007,"English",5.9
2749,"Bathory: Countess of Blood","juraj jakubisko","anna friel","hans matheson","franco nero",2008,"English",6
2750,"Khumba","anthony silverston","liam neeson","steve buscemi","loretta devine",2013,"English",5.8
2751,"Automata","gabe ibáñez","birgitte hjort sørensen","robert forster","melanie griffith",2014,"English",6.1
2752,"Dungeons & Dragons: Wrath of the Dragon God","gerry lively","bruce payne","lucy gaskell","steven elder",2005,"English",4.9
2753,"Chiamatemi Francesco - Il Papa della gente","daniele luchetti","maximilian dirr","rodrigo de la serna","ferdinando vetere",2015,"Spanish",5.7
2754,"Shinjuku Incident","tung-shing yee","bingbing fan","daniel wu","yasuaki kurata",2009,"Mandarin",7.1
2755,"Pandaemonium","julien temple","samantha morton","dexter fletcher","linus roache",2000,"English",6.6
2756,"Groundhog Day","harold ramis","bill murray","chris elliott","willie garson",1993,"English",8.1
2757,"Magic Mike XXL","gregory jacobs","matt bomer","channing tatum","kevin nash",2015,"English",5.7
2758,"Romeo + Juliet","baz luhrmann","leonardo dicaprio","harold perrineau","brian dennehy",1996,"English",6.8
2759,"Sarah's Key","gilles paquet-brenner","kristin scott thomas","aidan quinn","arben bajraktaraj",2010,"French",7.5
2760,"Freedom","peter cousens","sharon leal","david rasche","bart shatto",2014,"English",6.2
2761,"Unforgiven","clint eastwood","clint eastwood","morgan freeman","frances fisher",1992,"English",8.3
2762,"Manderlay","lars von trier","bryce dallas howard","jeremy davies","jean-marc barr",2005,"English",7.4
2763,"Slumdog Millionaire","danny boyle","anil kapoor","saurabh shukla","ayush mahesh khedekar",2008,"English",8
2764,"Fatal Attraction","adrian lyne","fred gwynne","lois smith","anne archer",1987,"English",6.9
2765,"Pretty Woman","garry marshall","julia roberts","hector elizondo","jason alexander",1990,"English",6.9
2766,"Towering Inferno","john blanchard","martin short","andrea martin","joe flaherty",NA,"English",9.5
2767,"Crocodile Dundee II","john cornell","paul hogan","linda kozlowski","john meillon",1988,"English",5.5
2768,"Broken Horses","vidhu vinod chopra","maría valverde","chris marquette","chad bishop",2015,"English",5.7
2769,"Born on the Fourth of July","oliver stone","tom cruise","tom berenger","stephen baldwin",1989,"English",7.2
2770,"Cool Runnings","jon turteltaub","doug e. doug","leon","malik yoba",1993,"English",6.9
2771,"My Bloody Valentine","patrick lussier","jensen ackles","jaime king","edi gathegi",2009,"English",5.5
2772,"The Possession","ole bornedal","kyra sedgwick","madison davenport","natasha calis",2012,"English",5.9
2773,"First Blood","ted kotcheff","sylvester stallone","brian dennehy","chris mulkey",1982,"English",7.7
2774,"Stomp the Yard","sylvain white","chris brown","laz alonso","harry lennix",2007,"English",5.2
2775,"The Spy Who Loved Me","lewis gilbert","caroline munro","desmond llewelyn","barbara bach",1977,"English",7.1
2776,"Ghost Hunters","","amy bruni","steve gonsalves","jason hawes",NA,"English",6.6
2777,"Urban Legend","jamie blanks","alicia witt","loretta devine","julian richings",1998,"English",5.5
2778,"Dangerous Liaisons","stephen frears","keanu reeves","peter capaldi","swoosie kurtz",1988,"English",7.7
2779,"Good Deeds","tyler perry","eddie cibrian","phylicia rashad","jamie kennedy",2012,"English",5.4
2780,"White Fang","randal kleiser","seymour cassel","klaus maria brandauer","susan hogan",1991,"English",6.7
2781,"Superstar","bruce mcculloch","will ferrell","elaine hendrix","molly shannon",1999,"English",5
2782,"The Iron Lady","phyllida lloyd","meryl streep","jim broadbent","olivia colman",2011,"English",6.4
2783,"Jonah: A VeggieTales Movie","mike nawrocki","phil vischer","mike nawrocki","shelby vischer",2002,"English",6.6
2784,"Poetic Justice","john singleton","janet jackson","khandi alexander","maya angelou",1993,"English",5.9
2785,"All About the Benjamins","kevin bray","mike epps","roger guenveur smith","gino salvano",2002,"English",5.7
2786,"Vampire in Brooklyn","wes craven","john witherspoon","w. earl brown","allen payne",1995,"English",4.5
2787,"Exorcist II: The Heretic","john boorman","linda blair","richard burton","ned beatty",1977,"English",3.7
2788,"An American Haunting","courtney solomon","sissy spacek","james d'arcy","vernon dobtcheff",2005,"English",5
2789,"My Boss's Daughter","david zucker","carmen electra","tyler labine","molly shannon",2003,"English",4.6
2790,"A Perfect Getaway","david twohy","chris hemsworth","milla jovovich","marley shelton",2009,"English",6.5
2791,"Our Family Wedding","rick famuyiwa","america ferrera","lance gross","lupe ontiveros",2010,"English",4.9
2792,"Dead Man on Campus","alan cohn","alyson hannigan","linda cardellini","poppy montgomery",1998,"English",6
2793,"Tea with Mussolini","franco zeffirelli","lily tomlin","joan plowright","paolo seganti",1999,"English",6.9
2794,"Thinner","tom holland","joe mantegna","bethany joy lenz","kari wuhrer",1996,"English",5.7
2795,"New York, New York","martin scorsese","robert de niro","liza minnelli","mary kay place",1977,"English",6.7
2796,"Crooklyn","spike lee","alfre woodard","delroy lindo","isaiah washington",1994,"English",6.9
2797,"I Think I Love My Wife","chris rock","steve buscemi","eliza coupe","wendell pierce",2007,"English",5.5
2798,"Jason X","james isaac","peter mensah","kane hodder","lexa doig",2001,"English",4.4
2799,"Big Fat Liar","shawn levy","frankie muniz","donald faison","lee majors",2002,"English",5.4
2800,"Bobby","emilio estevez","anthony hopkins","nick cannon","brian geraghty",2006,"English",7
2801,"Head Over Heels","mark waters","monica potter","ivana milicevic","china chow",2001,"English",5.4
2802,"Fun Size","josh schwartz","thomas mcdonell","jackson nicoll","osric chau",2012,"English",5.4
2803,"The Diving Bell and the Butterfly","julian schnabel","emmanuelle seigner","mathieu amalric","isaach de bankolé",2007,"French",8
2804,"Little Children","todd field","kate winslet","noah emmerich","jane adams",2006,"English",7.6
2805,"Gossip","davis guggenheim","norman reedus","sharon lawrence","noam jenkins",2000,"English",5.9
2806,"A Walk on the Moon","tony goldwyn","viggo mortensen","julie kavner","tovah feldshuh",1999,"English",6.6
2807,"Catch a Fire","phillip noyce","derek luke","terry pheto","bonnie henna",2006,"English",6.7
2808,"Soul Survivors","stephen carpenter","melissa sagemiller","angela featherstone","candace kroslak",2001,"English",3.9
2809,"Jefferson in Paris","james ivory","seth gilliam","todd boyce","nigel whitmey",1995,"English",5.7
2810,"Easy Virtue","stephan elliott","colin firth","kristin scott thomas","kris marshall",2008,"English",6.7
2811,"Caravans","james fargo","christopher lee","joseph cotten","behrouz vossoughi",1978,"English",6.5
2812,"Mr. Turner","mike leigh","lesley manville","ruth sheen","karl johnson",2014,"English",6.8
2813,"Wild Grass","alain resnais","mathieu amalric","sara forestier","edouard baer",2009,"French",6.3
2814,"Amen.","costa-gavras","sebastian koch","mathieu kassovitz","ulrich mühe",2002,"English",7.3
2815,"Reign of Assassins","chao-bin su","woo-sung jung","shawn yue","kelly lin",2010,"Mandarin",6.9
2816,"The Lucky Ones","neil burger","john heard","katherine lanasa","mark l. young",2008,"English",7
2817,"Margaret","kenneth lonergan","matt damon","kieran culkin","john gallagher jr.",2011,"English",6.5
2818,"Stan Helsing","bo zenga","steve howey","kenan thompson","diora baird",2009,"English",3.6
2819,"Flipped","rob reiner","madeline carroll","rebecca de mornay","aidan quinn",2010,"English",7.7
2820,"Brokeback Mountain","ang lee","jake gyllenhaal","heath ledger","anne hathaway",2005,"English",7.7
2821,"Teenage Mutant Ninja Turtles","jonathan liebesman","noel fisher","danny woodburn","jeremy howard",2014,"English",5.9
2822,"Clueless","amy heckerling","donald faison","dan hedaya","elisa donovan",1995,"English",6.8
2823,"Far from Heaven","todd haynes","dennis quaid","celia weston","michael gaston",2002,"English",7.4
2824,"Hot Tub Time Machine 2","steve pink","adam scott","gillian jacobs","collette wolfe",2015,"English",5.1
2825,"Dekalog","","krystyna janda","olaf lubaszenko","olgierd lukaszewicz",NA,"Polish",9.1
2826,"Quills","philip kaufman","kate winslet","stephen marcus","amelia warner",2000,"English",7.4
2827,"Seven Psychopaths","martin mcdonagh","abbie cornish","gabourey sidibe","michael stuhlbarg",2012,"English",7.2
2828,"The Caveman's Valentine","kasi lemmons","colm feore","tamara tunie","aunjanue ellis",2001,"English",6
2829,"The Border","","jacek koman","marian dziedziel","jaroslaw boberek",NA,"Polish",7.4
2830,"Downfall","oliver hirschbiegel","thomas kretschmann","bruno ganz","alexandra maria lara",2004,"German",8.3
2831,"The Sea Inside","alejandro amenábar","belén rueda","lola dueñas","tamar novas",2004,"Spanish",8.1
2832,"Under the Skin","jonathan glazer","scarlett johansson","paul brannigan","alison chand",2013,"English",6.3
2833,"Good Morning, Vietnam","barry levinson","robin williams","j.t. walsh","bruno kirby",1987,"English",7.3
2834,"The Last Godfather","hyung-rae shim","jason mewes","stephanie danielson","michael rispoli",2010,"English",3.6
2835,"Justin Bieber: Never Say Never","jon m. chu","usher raymond","sean kingston","boys ii men",2011,"English",1.6
2836,"Black Swan","darren aronofsky","natalie portman","mila kunis","mark margolis",2010,"English",8
2837,"RoboCop","josé padilha","gary oldman","abbie cornish","jennifer ehle",2014,"English",6.2
2838,"The Godfather: Part II","francis ford coppola","robert de niro","al pacino","robert duvall",1974,"English",9
2839,"Save the Last Dance","thomas carter","sean patrick thomas","terry kinney","fredro starr",2001,"English",6.1
2840,"A Nightmare on Elm Street 4: The Dream Master","renny harlin","tuesday knight","rodney eastman","brooke bundy",1988,"English",5.7
2841,"Miracles from Heaven","patricia riggen","jennifer garner","brighton sharbino","martin henderson",2016,"English",6.8
2842,"Dude, Where's My Car?","danny leiner","jennifer garner","mary lynn rajskub","marla sokoloff",2000,"English",5.5
2843,"Young Guns","christopher cain","jack palance","patrick wayne","brian keith",1988,"English",6.8
2844,"St. Vincent","theodore melfi","bill murray","naomi watts","reg e. cathey",2014,"English",7.3
2845,"About Last Night","steve pink","joe lo truglio","regina hall","bryan callen",2014,"English",6.1
2846,"10 Things I Hate About You","gil junger","joseph gordon-levitt","heath ledger","andrew keegan",1999,"English",7.2
2847,"The New Guy","ed decter","zooey deschanel","eddie griffin","gene simmons",2002,"English",5.9
2848,"Loaded Weapon 1","gene quintano","jon lovitz","lin shaye","bill nunn",1993,"English",6.1
2849,"The Shallows","jaume collet-serra","óscar jaenada","brett cullen","sedona legge",2016,"English",6.8
2850,"The Butterfly Effect","eric bress","logan lerman","eric stoltz","cameron bright",2004,"English",7.7
2851,"Snow Day","chris koch","chris elliott","mark webber","jean smart",2000,"English",4.9
2852,"This Christmas","preston a. whitmore ii","mekhi phifer","chris brown","loretta devine",2007,"English",6.1
2853,"Baby Geniuses","bob clark","kathleen turner","dom deluise","ruby dee",1999,"English",2.5
2854,"The Big Hit","kirk wong","bokeem woodbine","elliott gould","antonio sabato jr.",1998,"English",6.1
2855,"Harriet the Spy","bronwen hughes","gregory smith","eartha kitt","charlotte sullivan",1996,"English",5.9
2856,"Child's Play 2","john lafia","jenny agutter","beth grant","greg germann",1990,"English",5.7
2857,"No Good Deed","sam miller","leslie bibb","kate del castillo","henry simmons",2014,"English",5.6
2858,"The Mist","frank darabont","toby jones","alexa davalos","jeffrey demunn",2007,"English",7.2
2859,"Ex Machina","alex garland","elina alminas","sonoya mizuno","corey johnson",2015,"English",7.7
2860,"Being John Malkovich","spike jonze","willie garson","orson bean","mary kay place",1999,"English",7.8
2861,"Two Can Play That Game","mark brown","mo'nique","vivica a. fox","tamala jones",2001,"English",6.1
2862,"Earth to Echo","dave green","teo halm","ella wahlestedt","jason gray-stanford",2014,"English",5.8
2863,"Crazy/Beautiful","john stockwell","kirsten dunst","jay hernandez","rolando molina",2001,"English",6.5
2864,"Letters from Iwo Jima","clint eastwood","yuki matsuzaki","kazunari ninomiya","shidô nakamura",2006,"Japanese",7.9
2865,"The Astronaut Farmer","michael polish","j.k. simmons","virginia madsen","bruce dern",2006,"English",6.3
2866,"Woo","daisy von scherler mayer","ll cool j","jada pinkett smith","dave chappelle",1998,"English",3.8
2867,"Room","lenny abrahamson","joan allen","jacob tremblay","cas anvar",2015,"English",8.3
2868,"Dirty Work","bob saget","don rickles","jack warden","traylor howard",1998,"English",6.4
2869,"Serial Mom","john waters","kathleen turner","sam waterston","traci lords",1994,"English",6.7
2870,"Dick","andrew fleming","ryan reynolds","will ferrell","kirsten dunst",1999,"English",6.1
2871,"Del 1 - Män som hatar kvinnor","niels arden oplev","michael nyqvist","david dencik","lena endre",NA,"Swedish",8.1
2872,"Light It Up","craig bolotin","rosario dawson","vanessa williams","robert ri'chard",1999,"English",6
2873,"54","mark christopher","salma hayek","ellen albertini dow","sela ward",1998,"English",5.8
2874,"Bubble Boy","blair hayes","jake gyllenhaal","geoffrey arend","marley shelton",2001,"English",5.6
2875,"Birthday Girl","jez butterworth","mark gatiss","mathieu kassovitz","ben chaplin",2001,"English",6.1
2876,"21 & Over","jon lucas","justin chon","josie loren","sarah wright",2013,"English",5.9
2877,"Paris, je t'aime","olivier assayas","steve buscemi","miranda richardson","catalina sandino moreno",2006,"French",7.3
2878,"Resurrecting the Champ","rod lurie","harry lennix","kathryn morris","peter coyote",2007,"English",6.8
2879,"Admission","paul weitz","tina fey","sarita choudhury","christopher evan welch",2013,"English",5.7
2880,"The Widow of Saint-Pierre","patrice leconte","emir kusturica","daniel auteuil","yves jacques",2000,"French",7.3
2881,"Chloe","atom egoyan","liam neeson","meghan heffern","natalie lisinska",2009,"English",6.3
2882,"Faithful","paul mazursky","chazz palminteri","ryan o'neal","paul mazursky",1996,"English",5.9
2883,"Brothers","jim sheridan","natalie portman","jake gyllenhaal","ethan suplee",2009,"English",7.1
2884,"Find Me Guilty","sidney lumet","peter dinklage","vin diesel","alex rocco",2006,"English",7.1
2885,"The Perks of Being a Wallflower","stephen chbosky","logan lerman","ezra miller","kate walsh",2012,"English",8
2886,"Excessive Force","jon hess","burt young","ian gomez","thomas ian griffith",1993,"English",5.1
2887,"Infamous","douglas mcgrath","toby jones","isabella rossellini","hope davis",2006,"English",7.1
2888,"The Claim","michael winterbottom","milla jovovich","sarah polley","shirley henderson",2000,"English",6.5
2889,"The Vatican Tapes","mark neveldine","djimon hounsou","alison lohman","dougray scott",2015,"English",4.5
2890,"Attack the Block","joe cornish","john boyega","luke treadaway","jodie whittaker",2011,"English",6.6
2891,"In the Land of Blood and Honey","angelina jolie pitt","jelena jovanova","nikola djuricko","branko djuric",2011,"Bosnian",4.3
2892,"The Call","brad anderson","michael imperioli","tara platt","roma maffia",2013,"English",6.7
2893,"Operation Chromite","john h. lee","liam neeson","dean dawson","jung-jae lee",2016,"English",6.8
2894,"The Crocodile Hunter: Collision Course","john stainton","steve irwin","aden young","steve bastoni",2002,"English",5.4
2895,"I Love You Phillip Morris","glenn ficarra","dameon clarke","louis herthum","annie golden",2009,"English",6.6
2896,"Quest for Fire","jean-jacques annaud","rae dawn chong","everett mcgill","gary schwartz",1981,"None",7.4
2897,"Antwone Fisher","denzel washington","denzel washington","kevin connolly","derek luke",2002,"English",7.3
2898,"The Emperor's Club","michael hoffman","gabriel millman","embeth davidtz","rob morrow",2002,"English",6.9
2899,"True Romance","tony scott","brad pitt","gary oldman","michael rapaport",1993,"English",8
2900,"Womb","benedek fliegauf","eva green","matt smith","hannah murray",2010,"English",6.4
2901,"Glengarry Glen Ross","james foley","kevin spacey","al pacino","jude ciccolella",1992,"English",7.8
2902,"The Killer Inside Me","michael winterbottom","liam aiken","ned beatty","jay r. ferguson",2010,"English",6.1
2903,"Cat People","paul schrader","ed begley jr.","ruby dee","john heard",1982,"English",6.1
2904,"Sorority Row","stewart hendler","julian morris","margo harshman","rumer willis",2009,"English",5.1
2905,"The Prisoner of Zenda","john cromwell","david niven","mary astor","ronald colman",1937,"English",7.8
2906,"Lars and the Real Girl","craig gillespie","ryan gosling","kelli garner","paul schneider",2007,"English",7.4
2907,"The Boy in the Striped Pajamas","mark herman","richard johnson","sheila hancock","cara horgan",2008,"English",7.8
2908,"Dancer in the Dark","lars von trier","catherine deneuve","udo kier","björk",2000,"English",8
2909,"Oscar and Lucinda","gillian armstrong","tom wilkinson","richard roxburgh","clive russell",1997,"English",6.7
2910,"The Funeral","abel ferrara","isabella rossellini","vincent gallo","gretchen mol",1996,"English",6.6
2911,"Solitary Man","brian koppelman","jenna fischer","david costabile","richard schiff",2009,"English",6.4
2912,"Machete","ethan maniquis","robert de niro","don johnson","cheech marin",2010,"English",6.7
2913,"Casino Jack","george hickenlooper","kevin spacey","eric schweig","christian campbell",2010,"English",6.2
2914,"The Land Before Time","don bluth","judith barsi","gabriel damon","bill erwin",1988,"English",7.3
2915,"Tae Guk Gi: The Brotherhood of War","je-kyu kang","min-sik choi","bin won","dong-gun jang",2004,"Korean",8.1
2916,"The Perfect Game","william dear","clifton collins jr.","cheech marin","bruce mcgill",2009,"English",7
2917,"The Exorcist","william friedkin","ellen burstyn","linda blair","lee j. cobb",1973,"English",8
2918,"Jaws","steven spielberg","roy scheider","robert shaw","murray hamilton",1975,"English",8
2919,"American Pie","paul weitz","alyson hannigan","shannon elizabeth","natasha lyonne",1999,"English",7
2920,"Ernest & Celestine","stéphane aubier","mackenzie foy","megan mullally","lambert wilson",2012,"French",7.9
2921,"The Golden Child","michael ritchie","victor wong","randall 'tex' cobb","charlotte lewis",1986,"English",5.9
2922,"Think Like a Man","tim story","chris brown","romany malco","regina hall",2012,"English",6.6
2923,"Barbershop","tim story","sean patrick thomas","jason george","cedric the entertainer",2002,"English",6.3
2924,"Star Trek II: The Wrath of Khan","nicholas meyer","leonard nimoy","kirstie alley","nichelle nichols",1982,"English",7.7
2925,"Ace Ventura: Pet Detective","tom shadyac","sean young","udo kier","david margulies",1994,"English",6.9
2926,"WarGames","john badham","matthew broderick","barry corbin","ally sheedy",1983,"English",7.1
2927,"Witness","peter weir","harrison ford","viggo mortensen","lukas haas",1985,"English",7.4
2928,"Act of Valor","mike mccoy","alex veadov","jason cottle","rorke denver",2012,"English",6.5
2929,"Step Up","anne fletcher","channing tatum","alyson stoner","josh henderson",2006,"English",6.5
2930,"Beavis and Butt-Head Do America","mike judge","bruce willis","demi moore","john doman",1996,"English",6.8
2931,"Jackie Brown","quentin tarantino","robert de niro","sid haig","robert forster",1997,"English",7.5
2932,"Harold & Kumar Escape from Guantanamo Bay","jon hurwitz","danneel ackles","eric winter","beverly d'angelo",2008,"English",6.6
2933,"Chronicle","josh trank","michael kelly","alex russell","ashley hinshaw",2012,"English",7.1
2934,"Yentl","barbra streisand","miriam margolyes","amy irving","steven hill",1983,"English",6.6
2935,"Time Bandits","terry gilliam","shelley duvall","michael palin","kenny baker",1981,"English",7
2936,"Crossroads","tamra davis","britney spears","katherine boecher","dave allen",2002,"English",3.3
2937,"Project X","nima nourizadeh","dax flame","kirby bliss blanton","oliver cooper",2012,"English",6.7
2938,"Patton","franklin j. schaffner","george c. scott","karl malden","bill hickman",1970,"English",8
2939,"One Hour Photo","mark romanek","robin williams","gary cole","connie nielsen",2002,"English",6.8
2940,"Quarantine","john erick dowdle","andrew fiscella","jay hernandez","dania ramirez",2008,"English",6
2941,"The Eye","david moreau","chloë grace moretz","alessandro nivola","obba babatundé",2008,"English",5.4
2942,"Johnson Family Vacation","christopher erskin","vanessa williams","shannon elizabeth","shad moss",2004,"English",4.3
2943,"How High","jesse dylan","hector elizondo","fred willard","t.j. thyne",2001,"English",6.2
2944,"The Muppet Christmas Carol","brian henson","steven mackintosh","jerry nelson","steve whitmire",1992,"English",7.7
